"Job ID";"Internal ID";"Task ID";"Project ID";"Source";"Target";"Created";"Created by";"Job due date";"Project due date";"File";"Extension";"Workflow";"Workflow level";"Job status";"Job status changed";"Project status";"Project status changed";"Linguist";"Vendor";"Wordcount";"Currency";"Rate";"Price";"Owner";"Client";"Domain";"Subdomain";"Cost Center";"Business Unit"
"202178844";"4";"Jzymn6OCnyTUFUIn_dc5";"AKnyHTQu9jpf02vDXI6gi4";"en";"de";"27-05-2020 08:50:42";"petr.janacek1";"";"";"EN_abstract_Including_NT-en-de-T - Copy (2).docx";"docx";"Translation";"1";"NEW";"";"NEW";"";"";"";"592";"";"0";"0";"petr.janacek1";"";"";"";"";""
"202178845";"5";"Kzymn6OCnyTUFUIn_dc6";"AKnyHTQu9jpf02vDXI6gi4";"en";"cs";"27-05-2020 08:50:42";"petr.janacek1";"";"";"EN_abstract_Including_NT-en-de-T - Copy (3) - Copy.docx";"docx";"Translation";"1";"NEW";"";"NEW";"";"";"";"592";"";"0";"0";"petr.janacek1";"";"";"";"";""
"202178846";"6";"Mzymn6OCnyTUFUIn_dc5";"AKnyHTQu9jpf02vDXI6gi4";"en";"de";"27-05-2020 08:50:42";"petr.janacek1";"";"";"EN_abstract_Including_NT-en-de-T - Copy (3) - Copy.docx";"docx";"Translation";"1";"NEW";"";"NEW";"";"";"";"592";"";"0";"0";"petr.janacek1";"";"";"";"";""
"202178847";"7";"C81VVh1qa5ZzDyPu1_dc6";"AKnyHTQu9jpf02vDXI6gi4";"en";"cs";"27-05-2020 08:50:42";"petr.janacek1";"";"";"EN_abstract_Including_NT-en-de-T - Copy (3).docx";"docx";"Translation";"1";"NEW";"";"NEW";"";"";"";"592";"";"0";"0";"petr.janacek1";"";"";"";"";""
"202178848";"8";"Nzymn6OCnyTUFUIn_dc6";"AKnyHTQu9jpf02vDXI6gi4";"en";"de";"27-05-2020 08:50:42";"petr.janacek1";"";"";"EN_abstract_Including_NT-en-de-T - Copy (3).docx";"docx";"Translation";"1";"NEW";"";"NEW";"";"";"";"592";"";"0";"0";"petr.janacek1";"";"";"";"";""
"202178849";"9";"D81VVh1qa5ZzDyPu1_dc5";"AKnyHTQu9jpf02vDXI6gi4";"en";"cs";"27-05-2020 08:50:42";"petr.janacek1";"";"";"EN_abstract_Including_NT-en-de-T - Copy (4) - Copy.docx";"docx";"Translation";"1";"NEW";"";"NEW";"";"";"";"592";"";"0";"0";"petr.janacek1";"";"";"";"";""
"202178850";"10";"E81VVh1qa5ZzDyPu1_dc6";"AKnyHTQu9jpf02vDXI6gi4";"en";"de";"27-05-2020 08:50:42";"petr.janacek1";"";"";"EN_abstract_Including_NT-en-de-T - Copy (4) - Copy.docx";"docx";"Translation";"1";"NEW";"";"NEW";"";"";"";"592";"";"0";"0";"petr.janacek1";"";"";"";"";""
"202178851";"11";"F81VVh1qa5ZzDyPu1_dc5";"AKnyHTQu9jpf02vDXI6gi4";"en";"cs";"27-05-2020 08:50:43";"petr.janacek1";"";"";"EN_abstract_Including_NT-en-de-T - Copy (5) - Copy.docx";"docx";"Translation";"1";"NEW";"";"NEW";"";"";"";"592";"";"0";"0";"petr.janacek1";"";"";"";"";""
"202178852";"12";"Ozymn6OCnyTUFUIn_dc5";"AKnyHTQu9jpf02vDXI6gi4";"en";"de";"27-05-2020 08:50:43";"petr.janacek1";"";"";"EN_abstract_Including_NT-en-de-T - Copy (5) - Copy.docx";"docx";"Translation";"1";"NEW";"";"NEW";"";"";"";"592";"";"0";"0";"petr.janacek1";"";"";"";"";""
"202178853";"13";"G81VVh1qa5ZzDyPu1_dc6";"AKnyHTQu9jpf02vDXI6gi4";"en";"cs";"27-05-2020 08:50:43";"petr.janacek1";"";"";"EN_abstract_Including_NT-en-de-T - Copy (6) - Copy.docx";"docx";"Translation";"1";"NEW";"";"NEW";"";"";"";"592";"";"0";"0";"petr.janacek1";"";"";"";"";""
"202178854";"14";"H81VVh1qa5ZzDyPu1_dc5";"AKnyHTQu9jpf02vDXI6gi4";"en";"de";"27-05-2020 08:50:43";"petr.janacek1";"";"";"EN_abstract_Including_NT-en-de-T - Copy (6) - Copy.docx";"docx";"Translation";"1";"NEW";"";"NEW";"";"";"";"592";"";"0";"0";"petr.janacek1";"";"";"";"";""
"202178855";"15";"I81VVh1qa5ZzDyPu1_dc6";"AKnyHTQu9jpf02vDXI6gi4";"en";"cs";"27-05-2020 08:50:43";"petr.janacek1";"";"";"EN_abstract_Including_NT-en-de-T - Copy.docx";"docx";"Translation";"1";"NEW";"";"NEW";"";"";"";"592";"";"0";"0";"petr.janacek1";"";"";"";"";""
"202178856";"16";"J81VVh1qa5ZzDyPu1_dc5";"AKnyHTQu9jpf02vDXI6gi4";"en";"de";"27-05-2020 08:50:43";"petr.janacek1";"";"";"EN_abstract_Including_NT-en-de-T - Copy.docx";"docx";"Translation";"1";"NEW";"";"NEW";"";"";"";"592";"";"0";"0";"petr.janacek1";"";"";"";"";""
"202180271";"1";"jYM57q7bNAgzIUIn_dc6";"rRmw2jv95vW61W5F43Fy70";"en";"cs";"27-05-2020 09:02:05";"petr.janacek1";"";"";"Instrukcja_340018-340030_plik do tumaczenia - Copy (2).docx";"docx";"";"1";"NEW";"";"NEW";"";"";"";"718";"";"0";"0";"petr.janacek1";"";"";"";"";"UnitA"
"202184559";"1";"Jfv0Uh1qa5ZEszPu1_dc6";"Tv1RneMafKlXfWyfLkTyB2";"en";"cy_gb";"27-05-2020 09:47:20";"HrbaA";"";"";"MT_sample file.txt";"txt";"";"1";"NEW";"";"NEW";"";"";"";"0";"";"0";"0";"HrbaA";"";"";"";"";""
